City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Szczytno,PL,2021-05-26 22:00:01,53.5626,20.9875,49.93,100,75,2.3
105,Lompoc,US,2021-05-26 22:03:57,34.6391,-120.4579,77.02,72,1,13.8
106,Airai,TL,2021-05-26 22:03:57,-8.9266,125.4092,55.74,90,50,4.23
107,Baruun-Urt,MN,2021-05-26 22:02:13,46.6806,113.2792,46.87,70,100,9.35
108,Port Blair,IN,2021-05-26 22:03:58,11.6667,92.75,82.4,81,100,17.09
109,Kavieng,PG,2021-05-26 22:03:58,-2.5744,150.7967,80.19,84,100,7.0
110,Evansville,US,2021-05-26 22:01:51,37.9748,-87.5558,82.18,76,90,1.99
111,Khatanga,RU,2021-05-26 22:03:58,71.9667,102.5,24.06,96,52,9.93
112,Yumen,CN,2021-05-26 22:03:58,40.2833,97.2,62.67,14,56,5.86
113,Asau,RO,2021-05-26 22:03:59,46.4333,26.4,57.4,98,85,1.57
114,Constitucion,CL,2021-05-26 22:03:59,-35.3333,-72.4167,58.64,85,59,10.16
115,Bredasdorp,ZA,2021-05-26 22:03:59,-34.5322,20.0403,51.28,84,100,2.48
116,Saint-Joseph,RE,2021-05-26 22:03:59,-21.3667,55.6167,70.18,83,18,0.72
117,Tateyama,JP,2021-05-26 22:04:00,34.9833,139.8667,67.01,87,100,3.67
118,Vila Franca Do Campo,PT,2021-05-26 22:04:00,37.7167,-25.4333,61.21,84,91,10.85
119,Hanzhong,CN,2021-05-26 22:04:00,33.0728,107.0303,61.68,77,100,0.96
120,Fortuna,US,2021-05-26 22:04:00,40.5982,-124.1573,81.19,65,75,3.0
121,Tilichiki,RU,2021-05-26 22:04:01,60.4667,166.1,34.68,99,100,5.39
122,Camara De Lobos,PT,2021-05-26 22:04:01,32.6333,-16.9667,66.0,86,20,1.99
123,Lata,PT,2021-05-26 22:04:01,40.1629,-8.3327,64.72,87,69,2.42
124,Kamina,CD,2021-05-26 22:04:01,-8.7386,24.9906,58.51,55,0,4.0
125,Chicaman,GT,2021-05-26 22:04:02,15.4,-90.7667,72.72,88,100,4.25
126,Jaslo,PL,2021-05-26 22:04:02,49.7451,21.4725,53.58,90,11,4.99
127,Jamestown,US,2021-05-26 22:04:02,42.097,-79.2353,70.09,78,90,5.99
128,San Patricio,US,2021-05-26 22:04:03,28.017,-97.5169,88.52,69,50,16.31
129,Norman Wells,CA,2021-05-26 22:04:03,65.282,-126.8329,57.27,38,100,9.15
130,Severo-Kurilsk,RU,2021-05-26 22:04:03,50.6789,156.125,38.34,98,100,12.57
131,Lukhovitsy,RU,2021-05-26 22:04:03,54.9728,39.0361,57.54,79,90,5.53
132,Sao Filipe,CV,2021-05-26 22:04:04,14.8961,-24.4956,74.64,75,0,11.68
133,Jiazi,CN,2021-05-26 22:04:04,22.8779,116.067,81.36,86,44,8.5
134,Mumford,GH,2021-05-26 22:04:04,5.2618,-0.759,81.1,87,28,11.39
135,Yellowknife,CA,2021-05-26 22:00:34,62.456,-114.3525,50.32,31,100,3.0
136,Talnakh,RU,2021-05-26 22:04:05,69.4865,88.3972,17.04,97,50,2.35
137,Hermanus,ZA,2021-05-26 22:04:05,-34.4187,19.2345,57.9,80,97,1.97
138,Deputatskiy,RU,2021-05-26 22:04:05,69.3,139.9,44.67,69,100,14.14
139,Warragul,AU,2021-05-26 22:04:05,-38.1667,145.9333,52.65,91,100,8.99
140,Soure,BR,2021-05-26 22:04:06,-0.7167,-48.5233,80.01,82,56,7.76
141,Xiaoweizhai,CN,2021-05-26 22:04:06,26.1903,107.5125,63.21,95,97,2.48
