City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Semnan,IR,35.5729,53.3971,64.63,55,4,6.85,clear sky
217,Georgetown,MY,5.4112,100.3354,77.9,96,40,9.22,moderate rain
218,Tamiahua,MX,21.2667,-97.45,81.37,82,100,8.95,overcast clouds
219,Toamasina,MG,-18.1667,49.3833,64.4,100,20,4.61,few clouds
220,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,0.0,broken clouds
221,Talnakh,RU,69.4865,88.3972,22.93,91,52,3.4,broken clouds
222,Portsmouth,GB,50.799,-1.0913,51.96,95,4,4.25,clear sky
223,Auki,SB,-8.7676,160.7034,84.58,66,34,13.0,scattered clouds
224,Chalus,IR,36.655,51.4204,65.66,94,90,4.61,overcast clouds
225,Namibe,AO,-15.1961,12.1522,73.11,65,0,6.08,clear sky
226,Lagoa,PT,39.05,-27.9833,59.09,66,99,14.23,overcast clouds
227,Avera,US,33.194,-82.5271,84.7,47,90,9.57,overcast clouds
228,Alvorada,BR,-12.48,-49.1247,76.12,41,60,4.09,broken clouds
229,Fomboni,KM,-12.28,43.7425,79.11,62,0,17.56,clear sky
230,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,34,2.21,scattered clouds
231,Hithadhoo,MV,-0.6,73.0833,84.16,68,52,20.15,broken clouds
232,Yumen,CN,40.2833,97.2,72.27,9,38,11.9,scattered clouds
233,Allanridge,ZA,-27.7543,26.6438,51.87,49,4,3.31,clear sky
234,Bumba,CD,2.1833,22.4667,73.56,86,85,1.19,overcast clouds
235,Bojnurd,IR,37.4747,57.329,60.75,88,90,4.61,overcast clouds
236,Beloha,MG,-25.1667,45.05,62.51,96,2,5.46,clear sky
237,Olutanga,PH,7.3106,122.8464,82.13,75,89,5.55,overcast clouds
238,Ulcinj,ME,41.9294,19.2244,62.82,74,0,3.18,clear sky
239,Sinop,TR,41.7711,34.8709,53.37,55,24,5.64,few clouds
240,Fortuna,US,40.5982,-124.1573,60.93,68,1,4.0,clear sky
241,Sakakah,SA,29.9697,40.2064,74.77,16,0,7.58,clear sky
242,Nome,US,64.5011,-165.4064,66.11,29,1,6.91,clear sky
243,Barcelos,PT,41.5388,-8.6151,62.92,77,97,2.8,overcast clouds
244,Flin Flon,CA,54.7682,-101.865,48.81,27,1,0.69,clear sky
245,Pangkalanbuun,ID,-2.6833,111.6167,83.77,72,10,3.76,light rain
246,Solnechnyy,RU,50.7214,136.6319,46.63,68,100,3.83,overcast clouds
247,Abu Samrah,SY,35.3029,37.1841,70.32,39,0,4.97,clear sky
248,Port Angeles,US,48.1181,-123.4307,62.31,73,90,0.0,overcast clouds
249,Tiksi,RU,71.6872,128.8694,37.06,89,13,3.83,few clouds
250,Yellowknife,CA,62.456,-114.3525,50.56,32,90,5.99,overcast clouds
251,Pokhara,NP,28.2333,83.9833,70.95,81,100,2.57,overcast clouds
252,Mwandiga,TZ,-4.83,29.6581,69.75,78,79,3.76,light rain
253,Oktyabrskoye,RU,43.0645,44.7417,53.35,87,91,4.25,overcast clouds
254,Mount Isa,AU,-20.7333,139.5,69.57,23,0,18.41,clear sky
255,New Amsterdam,GY,6.25,-57.5167,75.29,97,100,3.85,overcast clouds
256,Urussu,RU,54.5981,53.4631,48.27,86,0,5.23,clear sky
257,Necochea,AR,-38.5473,-58.7368,52.74,73,66,11.16,broken clouds
258,Balaipungut,ID,1.05,101.2833,79.21,94,100,2.51,light rain
259,Mahanoro,MG,-19.9,48.8,66.15,90,2,4.52,clear sky
260,Gombong,ID,-7.6072,109.5142,82.83,72,49,2.35,scattered clouds
261,Rawson,AR,-43.3002,-65.1023,51.66,61,100,8.21,overcast clouds
262,Port Hardy,CA,50.6996,-127.4199,48.38,87,90,17.27,light rain
263,Mishkino,RU,55.3389,63.9175,50.77,81,6,11.25,clear sky
264,Tucumcari,US,35.1717,-103.725,89.44,13,1,26.13,clear sky
265,Seia,PT,40.4151,-7.7086,56.5,73,97,2.51,overcast clouds
266,Kharan,PK,28.5833,65.4167,82.69,10,1,2.68,clear sky
267,Nanortalik,GL,60.1432,-45.2371,36.54,92,100,8.37,overcast clouds
268,Saint-Pierre,RE,-21.3393,55.4781,69.48,79,3,6.91,clear sky
269,Atocha,BO,-20.9333,-66.2333,44.19,54,100,5.06,overcast clouds
270,Nantucket,US,41.2835,-70.0995,66.07,94,90,14.97,overcast clouds
271,Charcas,MX,23.1333,-101.1167,72.07,49,48,19.48,scattered clouds
272,Charters Towers,AU,-20.1,146.2667,75.4,42,8,8.81,clear sky
273,Marawi,PH,7.9986,124.2928,75.65,84,79,1.36,broken clouds
274,Lazurne,UA,46.084,32.5295,58.01,80,9,8.59,clear sky
275,Hammerfest,NO,70.6634,23.6821,37.85,75,0,6.91,clear sky
276,Staryy Nadym,RU,65.6118,72.6842,37.71,60,100,13.78,overcast clouds
277,Alyangula,AU,-13.8483,136.4192,76.87,73,75,16.91,broken clouds
278,Pierre,US,44.3683,-100.351,52.72,71,90,20.71,overcast clouds
279,Susangerd,IR,31.5608,48.1831,78.82,19,0,7.72,clear sky
280,Wahiawa,US,21.5028,-158.0236,84.52,58,75,4.61,broken clouds
281,Quatre Cocos,MU,-20.2078,57.7625,71.71,88,14,5.93,few clouds
282,Nelson Bay,AU,-32.7167,152.15,65.77,58,0,1.99,clear sky
283,High Level,CA,58.5169,-117.136,57.31,51,90,7.27,overcast clouds
284,Cabo San Lucas,MX,22.8909,-109.9124,93.51,28,20,14.97,few clouds
285,Bethel,US,41.3712,-73.414,71.11,68,100,7.2,overcast clouds
